YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,1,1,5.66,66.81,432.48042692599995
2018,1,2,5.91,100.62,658.7852923389996
2018,1,3,5.71,157.88,426.5122281140001
2018,1,4,4.27,275.81,120.80422476999996
2018,1,5,5.52,119.12,408.81582397600016
2018,1,6,4.41,23.5,159.83148988000002
2018,1,7,5.48,73.75,313.3324835319999
2018,1,8,2.56,125.81,0.6764509113629998
2018,1,9,7.1,38.44,952.6600764771994
2018,1,10,4.09,29.19,91.51382766329992
2018,1,11,4.88,32.19,247.791018374
2018,1,12,5.3,70.38,308.3124429290001
2018,1,13,4.43,111.5,232.6844555504001
2018,1,14,4.98,245.94,272.3513188239997
2018,1,15,3.88,24.69,72.76182678229993
2018,1,16,6.66,269.62,752.1658362242993
2018,1,17,5.11,191.5,303.17602462100035
2018,1,18,6.16,23.0,406.87790467899976
2018,1,19,4.37,28.06,103.3557697185
2018,1,20,5.36,84.12,468.69696043899984
2018,1,21,6.23,276.44,639.0858416730003
2018,1,22,3.98,259.31,75.67581699689995
2018,1,23,8.35,148.88,1650.9152819500005
2018,1,24,7.53,243.69,1159.624357536999
2018,1,25,4.65,285.12,178.96927739060004
2018,1,26,6.35,191.19,636.5014038009997
2018,1,27,6.5,206.19,653.8131548909998
2018,1,28,7.12,214.88,945.3405810949994
2018,1,29,5.41,276.38,362.2824911480002
2018,1,30,4.59,229.5,194.06124070300004
2018,1,31,8.25,252.81,1544.0250622000003
2018,2,1,5.49,166.81,392.5896597008002
2018,2,2,6.02,199.94,496.76057557000024
2018,2,3,5.27,74.56,364.46109128199953
2018,2,4,6.2,43.5,598.0550030629996
2018,2,5,4.58,28.06,186.26804489900005
2018,2,6,2.95,44.12,0.7575120973400002
2018,2,7,5.91,189.06,477.4744830319996
2018,2,8,7.45,137.75,978.3264507810003
2018,2,9,8.29,238.69,1528.9614074599992
2018,2,10,6.51,288.5,663.3668266240005
2018,2,11,4.89,296.56,225.38944930900004
2018,2,12,7.71,221.69,1220.92649282
2018,2,13,6.31,166.69,581.6240310799994
2018,2,14,5.71,43.25,464.59422118999987
2018,2,15,6.17,140.12,596.2044903459997
2018,2,16,5.86,307.06,509.8342117210006
2018,2,17,3.8,315.94,57.86824011556997
2018,2,18,7.12,213.69,871.2442322309995
2018,2,19,8.29,249.69,1568.6589024299992
2018,2,20,6.51,261.69,630.9757141090003
2018,2,21,8.35,268.0,1650.3485766300007
2018,2,22,3.95,267.62,54.154418220000025
2018,2,23,2.69,261.06,3.891332671197999
2018,2,24,4.22,259.81,80.07816458306962
2018,2,25,5.09,115.31,363.6653810079998
2018,2,26,6.09,126.31,540.1851065040004
2018,2,27,7.44,300.75,993.7558075200993
2018,2,28,5.84,285.44,443.40489073299995
2018,3,1,5.04,280.06,132.63570466199997
2018,3,2,4.09,267.25,90.00495156136995
2018,3,3,6.84,262.81,769.5831713809999
2018,3,4,6.07,279.88,529.1083398479999
2018,3,5,5.7,166.19,427.47325898999986
2018,3,6,3.14,160.25,2.5484830570000003
2018,3,7,4.05,171.5,83.88426166067005
2018,3,8,6.18,192.81,593.1050747720003
2018,3,9,9.27,240.88,1861.4500426099987
2018,3,10,6.84,300.56,840.2966979850014
2018,3,11,9.13,283.5,2038.0317689000003
2018,3,12,6.56,259.94,611.2618042180001
2018,3,13,3.48,251.44,15.731284579290005
2018,3,14,2.71,250.12,0.3399648833300001
2018,3,15,7.44,289.38,969.3708801740996
2018,3,16,7.26,270.88,1042.9378557629998
2018,3,17,7.94,255.5,1456.6408421200008
2018,3,18,3.9,255.38,88.97785533569993
2018,3,19,4.27,260.38,138.46128157099992
2018,3,20,2.39,257.5,0.18452926636
2018,3,21,4.3,285.06,116.99552077800004
2018,3,22,8.39,241.81,1466.6693653400007
2018,3,23,8.3,262.0,1591.5672447499999
2018,3,24,7.95,268.44,1161.4375316000012
2018,3,25,6.61,207.88,559.9813451949996
2018,3,26,9.27,284.12,2048.02121576
2018,3,27,5.82,261.5,479.06723678900016
2018,3,28,5.75,184.06,404.2057437170001
2018,3,29,8.98,285.25,2107.57270748
2018,3,30,3.6,259.62,25.838525239039992
2018,3,31,3.41,241.38,23.434470751294985
2018,4,1,6.78,244.12,697.4176513839999
2018,4,2,3.7,242.12,43.619137497749946
2018,4,3,6.3,254.0,601.5154363940004
2018,4,4,4.09,251.75,96.64667147575997
2018,4,5,7.07,254.19,903.2105834999993
2018,4,6,4.16,253.69,94.1553996593
2018,4,7,7.14,234.75,900.6822850537002
2018,4,8,7.6,229.0,1270.6618587090004
2018,4,9,3.84,222.69,72.66738090389991
2018,4,10,8.21,182.25,1482.00456414
2018,4,11,6.92,272.69,738.5962099629999
2018,4,12,8.5,224.94,1636.4495594800007
2018,4,13,5.16,272.44,293.3697521940001
2018,4,14,6.64,277.62,740.4959139298003
2018,4,15,4.55,263.69,154.81400381750026
2018,4,16,2.8,267.12,0.11920549571199998
2018,4,17,4.77,268.81,163.79791134849992
2018,4,18,3.07,276.12,3.096623497200001
2018,4,19,6.48,272.81,681.2047283839995
2018,4,20,8.19,224.75,1411.1904192400002
2018,4,21,4.91,244.0,258.0770178220001
2018,4,22,3.98,125.06,76.48330061680001
2018,4,23,8.3,284.19,1700.0687096800002
2018,4,24,2.81,260.12,2.3810545898610003
2018,4,25,6.97,253.0,926.3629656889998
2018,4,26,3.62,240.31,8.167126617400001
2018,4,27,3.55,237.31,21.007761002519995
2018,4,28,6.05,237.12,592.2855584779994
2018,4,29,4.27,246.31,136.69587158859989
2018,4,30,4.01,253.06,78.57931217099998
2018,5,1,3.18,242.94,13.915923577202001
2018,5,2,2.83,228.12,5.651686696900003
2018,5,3,8.09,167.5,1400.819705146999
2018,5,4,8.96,252.81,1774.5250073199995
2018,5,5,3.91,250.12,70.68992566620003
2018,5,6,3.54,245.12,37.413319608609974
2018,5,7,3.48,241.69,21.21985564683
2018,5,8,7.02,248.25,916.0924768530006
2018,5,9,3.63,248.0,27.3582961083
2018,5,10,2.31,251.44,0.05437398911
2018,5,11,3.41,249.31,14.425205415692004
2018,5,12,2.7,246.88,0.78877786634
2018,5,13,4.66,249.06,208.48097884200016
2018,5,14,7.44,255.44,853.5579055049992
2018,5,15,4.85,256.81,197.8080072517001
2018,5,16,4.62,254.75,205.08417503999993
2018,5,17,4.98,257.19,246.6368644910001
2018,5,18,7.19,255.44,1001.9824132779996
2018,5,19,8.29,276.0,1494.09301138
2018,5,20,6.23,202.31,605.6060803180001
2018,5,21,6.84,217.69,785.7573785439998
2018,5,22,6.24,169.19,645.332913808
2018,5,23,7.59,255.62,715.4963526399999
2018,5,24,8.45,235.38,1652.2431029699999
2018,5,25,9.7,273.12,1706.2076219900002
2018,5,26,10.45,265.88,2628.9332690600004
2018,5,27,9.5,269.25,2203.1848363000004
2018,5,28,8.36,270.44,1450.893621192
2018,5,29,9.68,237.06,2368.9049219499993
2018,5,30,7.59,240.94,1181.4202071050006
2018,5,31,3.59,214.38,45.15867102233002
2018,6,1,3.03,228.5,8.95035701727
2018,6,2,2.86,242.56,1.1874555970999998
2018,6,3,3.04,247.56,7.435969160536501
2018,6,4,3.59,242.69,16.69410968691999
2018,6,5,2.82,246.25,3.0617115771710006
2018,6,6,4.58,246.81,159.5597791969998
2018,6,7,1.7,250.69,0.0
2018,6,8,3.75,233.19,70.78349609349999
2018,6,9,2.12,222.19,0.6112411022
2018,6,10,7.89,231.19,1341.2271679100002
2018,6,11,4.71,238.75,194.5573491567
2018,6,12,2.55,242.62,1.8110125246500002
2018,6,13,2.2,238.44,-0.149365687354
2018,6,14,3.29,238.0,3.57456715561
2018,6,15,2.49,233.75,0.12438006401999999
2018,6,16,2.25,232.56,0.0
2018,6,17,2.78,233.81,5.060094404399997
2018,6,18,2.63,232.19,0.38151784958199997
2018,6,19,3.44,244.25,16.725475865
2018,6,20,1.29,245.0,0.0
2018,6,21,3.09,236.38,8.12431411186
2018,6,22,3.48,227.38,27.08600667503002
2018,6,23,2.88,228.44,1.324787457599
2018,6,24,4.84,234.94,185.99762252600001
2018,6,25,4.15,233.75,98.23399827689998
2018,6,26,5.09,230.12,294.13450988100016
2018,6,27,8.04,171.38,1346.5787036419995
2018,6,28,6.05,170.12,609.331302201
2018,6,29,3.91,153.06,65.72839833579995
2018,6,30,7.59,190.38,1116.1064098699994
2018,7,1,5.15,222.44,325.09480530000013
2018,7,2,3.74,241.38,49.98318770250001
2018,7,3,3.34,238.5,11.300187570538004
2018,7,4,3.68,236.94,57.87097625799997
2018,7,5,4.44,236.38,130.41808953179995
2018,7,6,3.59,238.38,19.305247573619997
2018,7,7,2.32,244.31,0.09057005522999999
2018,7,8,5.13,238.31,256.243788143
