YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,1,1,2.49,291.62,0.0
2018,1,2,2.15,162.69,0.004142011106
2018,1,3,2.75,151.25,0.122211784118
2018,1,4,3.38,148.62,27.943853504279993
2018,1,5,3.09,178.19,7.991390838581999
2018,1,6,3.9,329.62,89.81207330686004
2018,1,7,2.14,312.31,0.0
2018,1,8,1.99,333.94,0.0
2018,1,9,2.5,332.69,0.0
2018,1,10,1.59,324.94,0.0
2018,1,11,2.65,289.5,0.145311330693
2018,1,12,2.7,292.38,0.15149729589480002
2018,1,13,3.88,250.25,77.82397289599997
2018,1,14,2.73,217.19,7.292604237520002
2018,1,15,3.91,268.81,59.57390619300005
2018,1,16,5.25,168.88,354.555555427
2018,1,17,8.88,158.81,1815.9262452499997
2018,1,18,4.36,254.69,101.080362242
2018,1,19,4.1,326.44,67.69358527802
2018,1,20,4.39,307.5,146.47799729100007
2018,1,21,5.54,200.69,382.01018615900017
2018,1,22,2.04,163.62,0.0
2018,1,23,5.98,221.31,533.8255502499992
2018,1,24,5.52,204.0,369.4627981419998
2018,1,25,3.82,230.12,35.20954387790002
2018,1,26,4.12,181.56,112.22774593599999
2018,1,27,2.34,189.88,1.61859045093
2018,1,28,2.59,156.69,0.37007195471000004
2018,1,29,3.65,221.19,30.939939574200004
2018,1,30,6.33,286.56,658.679599622
2018,1,31,4.92,221.38,234.76368667600013
2018,2,1,3.81,204.31,28.720370674
2018,2,2,4.77,293.69,128.617356796
2018,2,3,4.87,230.38,180.30752167099988
2018,2,4,5.25,319.12,299.9665320303999
2018,2,5,2.41,199.44,0.6530325317260001
2018,2,6,5.12,232.62,322.5069401449997
2018,2,7,3.2,283.31,11.343710484330007
2018,2,8,3.05,316.31,2.861779055569999
2018,2,9,2.66,194.25,0.4797821189759999
2018,2,10,7.35,99.19,974.8578868949996
2018,2,11,6.79,112.06,777.662488980999
2018,2,12,5.39,112.25,457.7864517210001
2018,2,13,6.43,93.06,959.8796128719997
2018,2,14,4.02,337.12,92.39900345470012
2018,2,15,3.59,263.94,24.99890126119998
2018,2,16,3.88,277.94,79.06193663670003
2018,2,17,1.63,310.19,0.0
2018,2,18,3.9,249.69,90.8461156837999
2018,2,19,2.6,207.62,1.3556054305709995
2018,2,20,3.23,192.62,10.906141689269997
2018,2,21,4.94,135.69,233.41406736299993
2018,2,22,4.79,121.81,170.87516076399987
2018,2,23,6.0,126.31,493.09556336599957
2018,2,24,7.23,221.06,1026.9927959059996
2018,2,25,4.1,333.38,78.49983855841998
2018,2,26,5.15,257.06,293.76582977700025
2018,2,27,3.3,229.69,11.643143363224
2018,2,28,3.65,252.81,31.455420759899994
2018,3,1,3.8,169.94,62.13437438959998
2018,3,2,6.41,164.69,731.8334667870007
2018,3,3,4.89,73.12,183.98306122499994
2018,3,4,3.41,180.12,16.611636080129998
2018,3,5,3.1,158.56,3.5752855685999987
2018,3,6,5.09,318.19,278.31073578399986
2018,3,7,2.48,173.75,0.0476881206
2018,3,8,5.78,174.19,480.65695037700027
2018,3,9,4.27,295.62,63.17240287900002
2018,3,10,2.3,249.19,0.3685512035286
2018,3,11,4.59,276.25,192.562710277
2018,3,12,4.15,139.62,101.2086300003
2018,3,13,6.77,166.75,711.2446182109996
2018,3,14,4.68,181.0,233.96162063999975
2018,3,15,4.87,135.31,230.48797696899993
2018,3,16,1.95,182.0,0.0
2018,3,17,3.48,280.75,22.680353612960012
2018,3,18,2.6,114.31,1.3275674771400003
2018,3,19,6.07,145.94,579.7970437669999
2018,3,20,6.55,86.62,953.011900004
2018,3,21,7.55,149.06,1133.42150007
2018,3,22,3.42,69.56,17.741772347390008
2018,3,23,2.92,256.88,4.896223825194999
2018,3,24,3.16,328.38,0.72407707211
2018,3,25,4.51,284.94,61.49734771100004
2018,3,26,3.95,279.19,58.540665420820034
2018,3,27,2.48,100.62,0.432921727044
2018,3,28,4.05,174.38,79.47191631490004
2018,3,29,5.96,303.56,494.1656201189998
2018,3,30,6.1,318.56,604.9261935619992
2018,3,31,4.49,265.5,162.23557953300005
2018,4,1,4.67,149.75,146.70035247000007
2018,4,2,6.87,221.69,815.9272924899997
2018,4,3,5.16,158.31,262.32597563
2018,4,4,6.05,146.88,592.9461447179998
2018,4,5,3.13,153.25,14.412955999500005
2018,4,6,6.72,191.75,628.2852715999999
2018,4,7,6.29,84.5,886.4836852799998
2018,4,8,7.52,138.31,989.0154462630002
2018,4,9,4.84,184.94,249.9339045749998
2018,4,10,5.46,146.44,351.6975945920001
2018,4,11,8.12,59.44,1464.275501750001
2018,4,12,3.62,215.62,40.66287748009004
2018,4,13,3.16,179.94,2.9477077650159997
2018,4,14,3.92,175.81,61.175511548599964
2018,4,15,8.4,142.94,1573.0218540900005
2018,4,16,7.3,89.06,1100.7726458250002
2018,4,17,5.81,201.31,457.16547578300043
2018,4,18,3.47,182.38,10.257297410650004
2018,4,19,3.81,215.25,42.70015779479999
2018,4,20,6.3,182.31,641.118084094001
2018,4,21,3.68,266.06,21.888028507699996
2018,4,22,3.84,324.44,56.746423572680015
2018,4,23,5.23,305.81,310.5353170027995
2018,4,24,3.4,267.0,11.382053515008993
2018,4,25,3.79,256.19,49.33226579129001
2018,4,26,4.08,256.0,87.61800003229995
2018,4,27,3.13,166.69,10.113124514993999
2018,4,28,2.73,140.69,0.8667897322
2018,4,29,2.1,219.25,0.02533077002
2018,4,30,4.39,253.56,162.8040215960002
2018,5,1,5.6,140.75,420.5072207640003
2018,5,2,7.95,102.25,1254.5561060019998
2018,5,3,6.62,82.31,1009.610815405001
2018,5,4,7.43,135.31,998.6428051460008
2018,5,5,6.39,111.56,569.5634723069998
2018,5,6,5.78,128.69,463.8828970380002
2018,5,7,7.36,85.19,1118.230577930001
2018,5,8,5.25,208.12,321.92464166110017
2018,5,9,4.03,172.44,78.06021572349998
2018,5,10,3.29,216.12,12.269177418019995
2018,5,11,6.53,253.62,639.2265385280002
2018,5,12,11.82,240.62,2549.3525781900007
2018,5,13,4.35,137.94,183.03150479999994
2018,5,14,8.69,131.0,1758.9534752400014
2018,5,15,7.98,68.0,1370.9439865999998
2018,5,16,5.64,261.12,445.1272909419999
2018,5,17,5.84,200.75,431.7055679309999
2018,5,18,7.21,220.44,984.9440629759997
2018,5,19,6.91,123.5,891.5534503289999
2018,5,20,5.78,137.25,452.9184722980002
2018,5,21,7.23,148.31,1055.3769108329998
2018,5,22,6.92,207.25,891.8241632259998
2018,5,23,2.52,255.44,0.0
2018,5,24,3.41,255.5,11.075038050864002
2018,5,25,3.54,273.12,37.17696641212002
2018,5,26,4.78,190.38,247.9493801919999
2018,5,27,2.75,219.0,1.5492280080577
2018,5,28,2.0,229.12,0.0
2018,5,29,8.5,86.19,1365.8197486179997
2018,5,30,7.0,233.5,976.6263611189995
2018,5,31,4.25,194.0,154.24540877660013
2018,6,1,7.02,138.81,920.2703558340003
2018,6,2,5.0,173.38,260.87248323100016
2018,6,3,3.28,255.94,15.046133464327996
2018,6,4,3.48,191.06,34.45059672088001
2018,6,5,3.5,138.12,35.31538953624
2018,6,6,5.2,205.31,239.9923853486999
2018,6,7,4.31,215.69,145.45167625420007
2018,6,8,3.75,225.5,74.45452336319998
2018,6,9,5.74,153.38,424.7728039530003
2018,6,10,3.81,242.44,57.94680904110005
2018,6,11,7.66,213.69,1277.294175959999
2018,6,12,4.85,279.75,235.20482979780024
2018,6,13,5.32,265.31,329.1916534417999
2018,6,14,5.73,219.19,477.1710207919999
2018,6,15,3.96,170.44,99.7407384284
