YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,1,1,6.12,143.69,553.9214679129997
2018,1,2,3.39,140.44,34.80289431539998
2018,1,3,5.02,229.88,312.160807193
2018,1,4,3.69,274.88,45.03116508539999
2018,1,5,6.27,127.38,626.6149261549999
2018,1,6,2.94,158.38,1.3875945710600002
2018,1,7,4.93,214.5,284.8420169019999
2018,1,8,4.63,208.31,128.54127045899997
2018,1,9,2.88,101.0,5.354031055119
2018,1,10,4.17,62.5,77.06318557029995
2018,1,11,7.35,129.12,753.0177294500002
2018,1,12,6.51,173.44,607.947585444
2018,1,13,4.8,132.5,219.10373818400018
2018,1,14,5.38,199.5,348.3592184540003
2018,1,15,3.62,147.44,10.177403864620002
2018,1,16,5.09,272.56,261.79447877300004
2018,1,17,7.45,159.44,1090.0448753990017
2018,1,18,4.27,73.31,132.69937041429995
2018,1,19,5.84,135.88,429.17384033799976
2018,1,20,5.38,153.38,306.0195690600002
2018,1,21,5.41,272.44,419.3783740210002
2018,1,22,6.18,323.56,364.0384204050001
2018,1,23,9.41,239.81,2240.6186609300003
2018,1,24,7.19,161.44,956.1970367350003
2018,1,25,5.29,199.69,356.6805276609997
2018,1,26,7.7,128.44,1111.4710114299999
2018,1,27,5.68,156.56,438.59453340399983
2018,1,28,5.82,251.56,488.860293581
2018,1,29,4.96,255.31,262.72287171400035
2018,1,30,5.19,212.62,247.0007402073999
2018,1,31,5.12,268.0,292.83721312700027
2018,2,1,5.89,154.31,471.10686187799985
2018,2,2,9.45,156.75,2096.0791074900008
2018,2,3,9.73,90.19,2363.8017635888023
2018,2,4,6.34,86.69,869.5880549389999
2018,2,5,4.09,143.62,105.40901363997996
2018,2,6,5.34,109.12,467.287799998
2018,2,7,5.04,214.75,244.55141449200005
2018,2,8,8.31,110.56,1476.9240505300002
2018,2,9,5.66,194.88,341.1499908410001
2018,2,10,4.71,162.94,172.43359809169993
2018,2,11,5.23,168.75,395.48556670799974
2018,2,12,7.0,217.25,877.0901201529992
2018,2,13,5.57,260.12,423.85452726500046
2018,2,14,2.2,169.44,0.047306079859999996
2018,2,15,6.19,218.5,627.0170648339996
2018,2,16,5.6,185.19,416.57279694100026
2018,2,17,4.23,120.62,93.48926284930002
2018,2,18,7.69,103.69,1118.2745874300012
2018,2,19,4.33,146.62,159.34007308000005
2018,2,20,7.11,219.81,936.1387188379998
2018,2,21,5.95,273.06,585.5051474189997
2018,2,22,6.27,265.0,642.9546356210003
2018,2,23,6.98,255.62,881.3914227189993
2018,2,24,6.93,254.81,879.8763085849998
2018,2,25,4.12,98.69,143.43472434700007
2018,2,26,3.41,138.44,33.87858667339999
2018,2,27,4.25,269.25,125.31392578889985
2018,2,28,3.3,297.69,14.519208192770009
2018,3,1,4.63,269.62,178.4255505409999
2018,3,2,4.23,296.62,78.82556900690001
2018,3,3,6.45,256.25,697.5267273
2018,3,4,6.72,80.94,667.3473278839999
2018,3,5,3.38,143.62,40.96839191429999
2018,3,6,6.5,195.75,658.3696847579996
2018,3,7,6.35,193.38,657.0304138109994
2018,3,8,6.31,217.62,594.6595001310001
2018,3,9,5.94,254.56,478.2194946480005
2018,3,10,5.73,192.56,423.26014008000004
2018,3,11,5.94,226.69,492.4677124020004
2018,3,12,6.55,263.56,826.7595220479998
2018,3,13,8.95,260.12,1655.8344568200002
2018,3,14,2.3,280.5,0.0005606641993
2018,3,15,4.89,270.75,258.43448668499997
2018,3,16,6.28,201.38,590.1264337090003
2018,3,17,5.49,252.94,373.28334382500026
2018,3,18,5.09,242.12,282.9789898859999
2018,3,19,6.66,259.06,768.412750868999
2018,3,20,4.12,291.12,71.99109886265998
2018,3,21,5.92,276.5,444.83844054500014
2018,3,22,5.75,134.12,419.24917907200035
2018,3,23,7.29,215.06,530.06439399
2018,3,24,5.59,222.0,460.79340026599965
2018,3,25,6.08,208.75,615.1196969510004
2018,3,26,8.06,252.69,1268.404144219999
2018,3,27,6.59,247.75,690.8880389450006
2018,3,28,7.2,115.81,1022.3205066700002
2018,3,29,7.3,145.19,1090.6904753570016
2018,3,30,7.88,187.81,1297.1719908500015
2018,3,31,9.07,261.12,1135.3816589199998
2018,4,1,7.58,223.56,1163.33218759
2018,4,2,6.36,245.56,630.2689629980006
2018,4,3,7.94,255.88,1452.1256760800013
2018,4,4,5.97,239.62,533.456426061001
2018,4,5,7.27,178.62,1024.9978497579991
2018,4,6,5.8,244.5,447.6397839360003
2018,4,7,5.85,253.69,522.3565716600002
2018,4,8,6.82,159.69,772.8481948969998
2018,4,9,6.81,139.5,833.022933950999
2018,4,10,5.82,174.44,462.4938162239999
2018,4,11,3.88,297.19,77.39699590718001
2018,4,12,7.8,207.69,1332.7906750469995
2018,4,13,5.07,249.88,294.07703811900006
2018,4,14,8.26,202.31,1540.8582080899994
2018,4,15,7.18,247.38,1034.8332866070004
2018,4,16,6.09,253.94,564.1474618590001
2018,4,17,5.8,281.12,430.819487902
2018,4,18,3.54,275.25,30.332382978860014
2018,4,19,9.21,244.56,2081.591293839999
2018,4,20,6.2,332.0,643.8955304230005
2018,4,21,6.73,113.38,828.9396008409999
2018,4,22,5.59,154.75,418.71037750100027
2018,4,23,6.72,266.62,613.0942077819999
2018,4,24,7.62,236.0,1188.72910521
2018,4,25,9.26,243.44,1736.356402519999
2018,4,26,7.17,192.62,917.5283587479988
2018,4,27,7.72,210.38,1327.15762699
2018,4,28,8.91,205.38,1794.1550143399998
2018,4,29,9.14,252.38,2065.4065870797995
2018,4,30,7.95,252.31,1165.0211522100005
2018,5,1,5.89,237.25,489.775412622
2018,5,2,5.7,181.31,446.5499966449996
2018,5,3,7.59,127.38,1261.5738134800008
2018,5,4,7.88,147.19,1238.0040783200002
2018,5,5,7.63,234.38,736.4022900599995
2018,5,6,7.67,244.12,1034.9674805416007
2018,5,7,6.95,233.88,962.5356744149996
2018,5,8,8.72,259.69,1479.7449535299997
2018,5,9,6.88,236.94,887.8605541589999
2018,5,10,8.52,232.88,1820.0346107299995
2018,5,11,7.66,243.81,1171.52623295
2018,5,12,6.7,252.56,642.424665982
2018,5,13,5.91,254.31,503.2201519799996
2018,5,14,8.75,244.94,1811.669390829999
2018,5,15,8.42,246.38,1741.5131203000005
2018,5,16,7.09,272.69,878.3007946490006
2018,5,17,5.25,273.19,320.6938477278002
2018,5,18,7.33,271.69,1169.7846196899984
2018,5,19,8.21,278.94,1654.7229224
2018,5,20,7.12,210.56,900.7233289649993
2018,5,21,8.9,272.62,1585.659170110002
2018,5,22,9.04,159.75,1873.5440126400001
2018,5,23,7.54,148.88,1079.2084942559998
2018,5,24,6.95,258.44,916.0150250049999
2018,5,25,5.98,303.0,507.33468992399935
2018,5,26,5.8,284.75,451.02846510599994
2018,5,27,5.08,253.81,285.7813040240002
2018,5,28,7.2,198.06,1048.341517331
2018,5,29,6.29,305.06,633.4634008809994
2018,5,30,9.09,199.88,1835.3311547010017
2018,5,31,7.45,162.25,1085.8967119850015
2018,6,1,6.96,165.12,893.7609942290007
2018,6,2,6.45,233.38,544.5030145479997
2018,6,3,5.57,235.94,433.2234979080003
2018,6,4,3.84,225.38,82.43211638759993
2018,6,5,2.56,231.44,0.10742656232
2018,6,6,3.98,234.31,97.03757445800004
2018,6,7,4.51,238.5,163.03567488300004
2018,6,8,6.31,209.44,593.4089117549995
2018,6,9,3.95,226.25,66.3195790854
2018,6,10,6.25,242.19,576.8649267499998
2018,6,11,10.38,225.5,2652.20580799
2018,6,12,3.76,235.12,29.135469898200014
2018,6,13,5.5,239.19,396.99124838709974
2018,6,14,3.91,237.0,50.46307519330002
2018,6,15,4.48,228.62,180.9540295349999
2018,6,16,5.97,227.69,544.0979391439998
2018,6,17,4.95,228.94,270.943730757
2018,6,18,5.66,221.25,415.85411620800005
2018,6,19,6.94,241.19,904.8226910669989
2018,6,20,5.52,228.0,397.2644049210004
2018,6,21,8.32,215.12,1547.2264780899998
2018,6,22,6.5,228.94,735.2845587069999
2018,6,23,7.8,219.81,1374.0614441800003
2018,6,24,7.07,229.31,945.7500298030006
2018,6,25,6.21,222.94,592.5882067869999
2018,6,26,8.11,200.88,1386.220157365
2018,6,27,4.06,178.69,118.36012902760008
2018,6,28,4.9,144.81,186.99376058699997
2018,6,29,5.78,124.31,468.05633239700006
2018,6,30,7.07,232.88,947.9727166250003
2018,7,1,5.05,228.88,265.2457614230004
2018,7,2,5.07,239.31,282.9388147009999
2018,7,3,4.21,235.38,102.96954667962999
2018,7,4,3.45,233.38,30.52009675052001
2018,7,5,4.77,232.44,206.62084763400023
2018,7,6,4.03,229.25,107.8390373624
2018,7,7,4.18,237.94,51.963724035959984
2018,7,8,3.84,231.44,81.78580348669992
2018,7,9,3.53,219.81,20.393912018830004
2018,7,10,3.95,217.0,94.4263888817
2018,7,11,4.6,227.19,192.49505575299997
2018,7,12,3.91,226.56,63.04821498130005
2018,7,13,3.09,220.0,1.46865745064
2018,7,14,4.0,213.38,110.5051949242
2018,7,15,3.57,224.88,37.15288230383
2018,7,16,3.28,209.62,13.117107544609993
2018,7,17,5.0,226.75,294.5246739259999
2018,7,18,5.09,240.0,280.4257455629999
2018,7,19,6.31,229.75,608.9806787170002
2018,7,20,5.32,230.38,359.9582934590002
2018,7,21,3.85,228.69,101.55494330390009
2018,7,22,4.3,221.38,153.3667467286999
2018,7,23,3.47,222.19,38.862011757
2018,7,24,4.48,209.81,178.65822645799994
2018,7,25,5.48,234.0,281.86923897040003
2018,7,26,4.67,228.38,162.825959609
2018,7,27,5.54,225.12,436.6916146799998
2018,7,28,5.1,224.5,318.48476867299973
2018,7,29,5.31,222.31,382.5316262929999
2018,7,30,5.82,228.75,507.2959045379997
2018,7,31,5.92,232.44,535.2867573559995
2018,8,1,3.65,232.19,37.697265394300004
2018,8,2,3.24,232.88,6.99326423832
2018,8,3,4.56,235.25,223.34412277699977
2018,8,4,4.57,230.25,209.73024948999998
2018,8,5,5.67,228.62,457.07902740300017
2018,8,6,5.67,225.56,442.21376373100014
2018,8,7,4.09,215.19,104.31354598179992
2018,8,8,7.2,181.31,997.5705036659998
2018,8,9,3.5,192.81,8.31507158001
2018,8,10,7.15,220.5,740.0227530494001
2018,8,11,5.45,235.31,408.9445877139999
2018,8,12,5.94,222.19,481.31199340800003
2018,8,13,3.93,211.38,94.61165907160003
2018,8,14,4.33,219.81,166.45985473399992
2018,8,15,4.18,226.0,54.55244795950001
2018,8,16,4.84,220.5,199.863496531
2018,8,17,6.23,217.94,616.8151251399997
2018,8,18,3.87,243.06,93.14490127820001
2018,8,19,6.34,220.12,600.1580047530002
2018,8,20,4.31,227.44,163.17001632049997
2018,8,21,5.64,226.38,465.0048623559994
2018,8,22,2.27,234.12,0.0
2018,8,23,2.57,229.44,-0.006629334092
2018,8,24,3.93,228.44,84.1411907137
2018,8,25,3.11,232.12,5.505372520494002
2018,8,26,4.7,233.0,209.19381956200007
2018,8,27,5.35,225.19,373.34222962099994
2018,8,28,6.26,220.94,632.2712793050006
2018,8,29,4.66,227.25,229.35901700800022
2018,8,30,2.37,232.56,0.11578534127
2018,8,31,3.37,226.5,16.51912125652001
2018,9,1,3.91,222.25,57.268143343000055
2018,9,2,4.91,231.25,252.15313766799997
2018,9,3,5.08,218.75,271.03439393199983
2018,9,4,6.4,226.25,520.33978026
2018,9,5,7.27,217.5,901.1035431369997
2018,9,6,8.16,213.69,1531.7094847600006
2018,9,7,5.84,216.06,443.21710629999944
2018,9,8,5.51,214.12,455.76423584200006
2018,9,9,4.3,225.38,148.09690939149985
2018,9,10,4.9,224.81,246.66633881099983
2018,9,11,5.4,231.12,352.38169371200024
2018,9,12,4.84,232.75,187.97118820000003
2018,9,13,4.14,225.38,140.4193031340001
2018,9,14,3.79,219.75,52.06438922258999
2018,9,15,4.88,224.19,240.8648218030001
2018,9,16,5.6,237.62,398.77978239400016
2018,9,17,5.14,234.06,305.1401330590001
2018,9,18,5.59,234.62,445.0261669849999
2018,9,19,5.45,235.88,408.03673340599994
2018,9,20,3.46,227.31,11.025726609359998
2018,9,21,4.66,232.06,228.38922788500025
2018,9,22,5.48,222.19,212.29330029200003
2018,9,23,5.2,163.12,325.452740338
2018,9,24,7.36,254.75,1101.8187260419982
2018,9,25,7.55,224.06,1147.3513513519997
2018,9,26,8.57,224.5,1579.1002565099996
2018,9,27,5.95,211.0,558.8850186259999
2018,9,28,7.84,199.12,1158.183904294001
2018,9,29,7.98,171.94,1304.6737513000005
2018,9,30,7.33,173.81,1139.4806113890002
2018,10,1,6.92,115.81,652.760076907
2018,10,2,6.75,132.88,732.4677435279998
2018,10,3,3.43,205.56,22.745573840050007
2018,10,4,5.4,115.75,450.5326882850001
2018,10,5,6.62,169.81,696.4792620829999
2018,10,6,6.61,158.75,684.7162084790004
2018,10,7,7.01,135.25,830.6255755530002
2018,10,8,4.24,145.62,112.70395401569982
2018,10,9,5.97,220.19,505.35497344899943
2018,10,10,4.98,149.44,291.7938746609999
2018,10,11,8.48,171.25,1700.746729710001
2018,10,12,5.48,168.44,225.95852462499988
2018,10,13,7.34,204.12,1090.2479205629998
2018,10,14,5.1,203.06,331.9290251109999
2018,10,15,8.31,207.62,1510.6257847400002
2018,10,16,6.62,140.0,633.7236602810004
2018,10,17,7.13,101.44,915.8748377930002
2018,10,18,6.98,167.75,926.650833117
2018,10,19,6.07,150.81,582.1063797069997
2018,10,20,6.84,131.62,859.6227533150009
2018,10,21,6.65,147.25,764.591123672
2018,10,22,6.86,200.19,898.7067614499999
2018,10,23,7.8,270.94,1351.4326820900003
2018,10,24,7.77,183.62,1254.1601001100003
2018,10,25,5.93,146.0,482.12821074799984
2018,10,26,6.2,251.88,637.4789013830003
2018,10,27,6.27,236.0,591.002882065
2018,10,28,5.1,273.81,280.76527225129985
2018,10,29,3.5,273.56,10.479397454379987
2018,10,30,4.52,267.88,124.39884552100006
2018,10,31,5.97,241.75,528.899150674001
2018,11,1,6.02,226.75,567.9892239449997
2018,11,2,9.24,172.69,1761.3203844200002
2018,11,3,8.41,154.31,1493.26264756
2018,11,4,7.74,143.81,1144.3702450899991
2018,11,5,7.75,168.75,1354.7600290199991
2018,11,6,4.12,162.38,68.94430386432
2018,11,7,6.74,236.12,627.7007775939999
2018,11,8,7.2,135.81,986.5483472760005
2018,11,9,4.54,145.62,174.07384109499992
2018,11,10,6.34,155.56,560.4339752059996
2018,11,11,6.7,230.25,688.6617888050004
2018,11,12,7.67,197.94,1247.4758936515998
2018,11,13,5.4,143.94,357.6800192170003
2018,11,14,4.41,140.75,173.04081145459995
2018,11,15,5.53,145.44,407.35363099400047
2018,11,16,4.04,187.62,68.44579170179999
2018,11,17,8.13,117.94,1318.8537451900013
2018,11,18,5.69,96.75,658.5792392049999
2018,11,19,6.07,112.88,383.7468420439998
2018,11,20,3.13,141.06,2.2931869198100006
2018,11,21,5.52,176.62,355.8637621960001
2018,11,22,3.64,267.56,48.80723827002999
2018,11,23,2.75,107.25,5.360887723606362
2018,11,24,4.9,176.0,215.80225541499996
2018,11,25,3.95,150.19,80.76354395439999
2018,11,26,2.48,182.5,0.07769153996699998
2018,11,27,4.36,270.5,96.14632722700004
2018,11,28,3.57,173.75,49.95714225830001
2018,11,29,3.12,96.19,10.355927076299999
2018,11,30,4.56,158.0,186.323866117
2018,12,1,6.27,158.44,596.5528271500007
2018,12,2,7.27,84.19,1143.7556586089995
2018,12,3,3.73,126.81,21.1178643323
2018,12,4,4.32,135.5,154.77798407800015
2018,12,5,4.73,192.56,194.72508818500003
2018,12,6,6.77,104.25,776.7237566919993
2018,12,7,2.8,148.62,0.52320396538
2018,12,8,5.52,256.38,391.7241420631002
2018,12,9,4.42,262.38,158.10384444800002
2018,12,10,6.05,143.5,594.3482342529999
2018,12,11,6.44,91.88,923.6562999389993
2018,12,12,4.72,142.62,180.78800460799994
2018,12,13,6.26,144.44,610.1671685910002
2018,12,14,4.21,85.0,182.79793473140006
2018,12,15,2.61,58.06,0.287229624393
2018,12,16,3.18,57.69,0.6504173993849999
2018,12,17,4.51,125.06,114.41743092140004
