YEAR,MO,DY,WS,WD,LV ActivePower (kW)
2018,1,1,5.01,77.0,222.87798645100023
2018,1,2,3.58,85.06,28.501836626740005
2018,1,3,3.37,173.25,18.860203521199995
2018,1,4,4.44,275.31,144.13426985899997
2018,1,5,6.68,249.5,722.3396038820002
2018,1,6,3.71,48.62,42.34716806320002
2018,1,7,3.06,103.5,23.153244621419987
2018,1,8,4.59,68.88,194.96976761900012
2018,1,9,6.21,43.62,516.144180289
2018,1,10,5.15,25.31,302.9821741228001
2018,1,11,4.81,50.56,223.86026489619988
2018,1,12,5.48,215.06,207.71602355600004
2018,1,13,5.36,168.44,354.59563901700005
2018,1,14,3.76,175.19,53.00565528789997
2018,1,15,3.91,53.44,60.72999328650001
2018,1,16,8.56,253.19,1407.246032740001
2018,1,17,5.2,179.88,339.02200899199966
2018,1,18,5.06,24.31,308.7482470659997
2018,1,19,3.81,20.69,67.99404760208
2018,1,20,5.55,54.81,396.0567809990004
2018,1,21,7.46,261.81,1124.637738245
2018,1,22,3.48,257.0,15.935958375370005
2018,1,23,8.14,216.56,1382.8989306550002
2018,1,24,5.61,205.94,273.5157276840005
2018,1,25,4.62,298.12,184.52456161799998
2018,1,26,5.32,254.31,351.19193999800024
2018,1,27,4.45,178.62,81.8443532558
2018,1,28,3.27,131.38,19.514055528280004
2018,1,29,3.16,247.56,5.828398055920001
2018,1,30,4.03,243.81,100.1043925053
2018,1,31,7.33,198.31,1029.849979284001
2018,2,1,5.13,232.88,298.16318786299985
2018,2,2,4.59,113.94,180.62841635599992
2018,2,3,5.4,20.81,329.84212340100015
2018,2,4,5.88,46.19,495.1584667310002
2018,2,5,3.78,29.62,62.28588932613004
2018,2,6,2.7,28.19,0.0
2018,2,7,4.97,173.94,290.5233865380002
2018,2,8,4.45,141.12,73.10366572880001
2018,2,9,4.58,156.5,185.00712646499989
2018,2,10,5.67,285.19,337.70490791699996
2018,2,11,3.83,269.69,71.59909050200002
2018,2,12,5.62,150.25,426.0866168109999
2018,2,13,5.65,179.88,451.2174194250001
2018,2,14,3.26,54.5,1.4138190936000001
2018,2,15,5.17,91.12,350.22706986099985
2018,2,16,3.4,155.69,16.358305454
2018,2,17,3.97,204.44,110.00176615019994
2018,2,18,3.33,176.12,18.584114588730007
2018,2,19,6.32,250.88,438.98339354400014
2018,2,20,7.2,252.19,1080.0025168890002
2018,2,21,6.32,237.94,346.29522704299995
2018,2,22,6.02,259.25,582.4328958109998
2018,2,23,5.65,248.62,421.04027221200005
2018,2,24,6.31,256.0,633.910783684
2018,2,25,4.01,49.94,73.22527515239996
2018,2,26,5.66,143.62,347.3587954720003
2018,2,27,6.02,284.12,553.487575366
2018,2,28,7.16,264.12,803.9822356709999
2018,3,1,5.31,280.62,338.7745877544
2018,3,2,6.46,259.12,627.1847503709998
